language,longitude,latitude
Mareshk Khorasani,59.57,36.8
Proto Yeniseian,85.0,70.0
Kwoma,142.75,-4.17
Matukar,145.8,-4.92
Nukak,-71.5,2.5
Pear,105.0,13.58
Boa Buta,25.33,3.0
Bwanabwana,151.25,-10.75
Carib 1665,-61.22,13.13
Yalunka,-11.0,10.0
Orokolo,145.2,-7.5
Koreguaye,-75.5,1.0
Obispenyo,-120.4,35.16
Biliau,146.33,-5.67
Ega Bai,98.9,26.69
Raji,82.75,28.0
Malula,36.55,33.84
Chacpar,-77.21,-9.58
Gunwinggu Kunwinjku,133.75,-12.5
Tagono,127.58,0.5
Missong,10.25,6.58
Chechen,45.83,43.25
Southern Gondi,80.2,18.75
Garifuna,-88.0,15.67
Chenhu She,114.63,23.24
Jula De Kong,-4.6,9.09
Sagakakan,-6.17,8.42
Lengola,25.0,-0.5
Western Pantar,124.0,-8.42
Proto Minahasan,124.78,1.25
Wapan,9.0,7.88
Baniwa,-66.3,2.7
Nusu,99.0,26.75
Kwegu,36.08,7.0
Makasar,119.6,-5.42
Malagasy Sakalava Ambanja,48.33,-13.67
Makasae,126.6,-8.5
Galke,14.33,8.08
Adi Galo,94.07,28.23
Sayula Popoluca,-95.0,17.83
Longgu,160.67,-9.75
Gafat,37.0,10.6
Bongo,28.5,7.5
Nalca,139.83,-4.25
Masiri,122.8,-5.7
Mocha 2,35.5,7.58
Takia,146.0,-4.67
Ngaibor,134.07,-6.72
Bongu,145.92,-5.5
Mwani,40.33,-11.67
Obang,8.67,5.42
Swahili,39.0,-6.5
Gupis Shina,74.0,36.0
Wiang Pa Pao Lua,98.75,19.0
Mandarin 2,110.0,34.0
Akawaio 2,-59.5,6.0
Salu Huhu,119.08,-3.08
Sunwar 2,86.3,27.55
San Lorenzo Cuaunecuiltitla,-96.92,18.0
Lower Pima,-111.0,29.0
Laraos,-75.79,-12.35
Bungain,143.75,-3.67
Onabasulu,142.67,-6.25
Karang,15.0,7.67
Malagasy Mahafaly,44.5,-24.0
Sui Li Ngam,107.5,26.0
Maprik,143.0,-3.83
Chadong 2,110.0,25.3
Kwerba Kauwerawet I,138.08,-2.25
Telugu 2,79.0,16.0
Djenne Chiini,2.17,13.83
Nzanyi,13.3,10.2
Butmas,167.06,-15.41
Ningrahar Pashto,70.38,33.98
Gurani,45.5,35.75
Pole,143.92,-6.5
Bende,30.58,-6.0
Sepang,119.08,-3.08
Panasuan,119.58,-2.25
Komi Yaeyama,123.93,24.35
Isaka,141.28,-2.83
Sicilian Unnamedinsource,14.0,37.5
Teribe,-82.67,9.33
Toabaita,160.6,-8.42
Murtazabad Hunza Burushaski,74.5,36.5
Aweti,-53.53,-12.87
Tamang,85.25,28.0
Dioi,103.75,17.58
Monguor,102.0,36.0
Dhudhuroa,144.18,-35.56
Salawati Maaya,130.92,-1.25
Limilngan,131.92,-12.5
Tagbanwa Aborlan,118.5,9.45
Godoberi,46.08,42.67
Chamacoco,-58.33,-20.58
Chang,94.75,26.33
Sonde Kiluwa,18.33,-6.25
Yibab,143.83,-3.83
Takituduh Bunun,121.0,23.5
Guanano,-69.5,0.83
Southern Hazara Gujari,72.88,33.96
Northern Tabassaran,47.9,41.97
Danaru,145.42,-5.58
Shona Ndau,32.5,-20.0
Kedang,123.75,-8.25
Olo Lumi,142.0,-3.42
Tafasoho,127.58,0.5
Ana Tinga,-3.12,14.67
Bussa 2,37.25,5.75
Lovara Romani,21.5,47.0
Mam San Gaspar Ixchil,-91.83,15.42
Boazi,141.33,-7.0
Kesawai,145.61,-5.79
Sui Pyo,107.5,26.0
Krongo,30.0,10.5
Nkongho,9.8,5.27
Fefe 2,10.17,5.25
Fefe 1,10.17,5.25
Azerbaijani North 2,48.5,40.5
Nganyaywana,151.67,-30.5
Gogodala Adiba,142.83,-8.08
Huave 2,-95.0,16.22
Kayupulau,140.75,-2.5
Buriat Mongolia,108.0,52.0
Omaha-ponca,-97.5,42.5
Old Prussian,21.0,55.0
Kallahan Keleyqiq Ifugao,121.0,16.67
Warkaj,138.58,-5.75
Mfinu,16.25,-4.25
Angaua,144.92,-5.0
Tunebo,-72.25,6.75
Mapoyo,-67.0,6.0
Gwara,7.98,9.47
Kpasham,11.25,8.75
Anyi,-3.5,7.0
Karachay Balkar,42.0,43.5
Pichi,8.78,3.74
Goharabad Shina,74.0,36.0
Hanunoo,121.25,12.33
Mangayat,25.25,8.98
Maututu,150.7,-5.78
Humene Manugoro,147.58,-9.67
Bencho,35.75,7.0
Bolia Bandundu,18.33,-1.25
Komyandaret,140.2,-5.3
Pocomam Eastern,-90.5,14.67
Southern Kalinga,121.33,17.42
Ilwana,39.95,-0.85
Luwuk Bajau,123.0,-4.33
Shinassha,36.17,10.42
Umanakaina Gigarebi,149.67,-9.92
Kwerisa,138.0,-3.0
Mecha Oromo,35.0,8.73
Tee Teke Kale,15.33,-3.67
Wambon,140.42,-5.5
Puinabe,-68.0,4.0
Epena Basurudo,-77.0,3.0
Bulgarian,25.0,42.5
Rapoisi,154.83,-5.83
Oro,8.08,4.92
Jinghong Tai Lue 2,100.77,22.0
Duna,142.5,-5.5
Labo,167.44,-16.44
Pular,-12.5,11.5
Kuba Lezgi,48.51,41.36
Inga Putumayo,-77.0,1.14
Kamang Langkuru,124.83,-8.25
Labu,146.92,-6.83
Amondava,-63.77,-11.14
Patani,128.5,0.33
Diri,9.33,11.17
Illyrian,18.0,43.0
Shanenawa,-71.75,-9.0
Eitiep,142.58,-3.5
Kung,18.0,-19.67
Gelanghe Akha,100.57,21.86
Imbongu,144.0,-6.17
Taipan Mien,105.26,23.04
Old Nubian,33.0,23.0
Kuni,146.83,-8.67
A51 Bafia Maja,11.2,5.1
Regi Tanzania,32.92,-2.0
Arabic Sudanese Spoken,32.53,15.55
Tunisian Arabic Maghrib,10.25,36.88
Zhuang Northern,108.0,24.0
Ban Ogoi,7.3,4.67
Naga Ao,94.67,26.58
Bambomba Epena,17.5,1.67
Fox,-96.76,35.66
Ume,143.08,-8.75
Foe,143.5,-6.5
Uma,120.0,-1.83
Tuvan,95.0,52.0
Dedua,147.67,-6.42
Akita,6.42,5.25
Bobangi,17.33,-1.33
Oyda,36.83,6.08
Dhadhaje Boghotu,159.83,-8.5
Numbami,147.3,-7.5
Huitoto Minica,-74.0,-0.33
Wunambal,125.5,-14.83
Buja Bumba Yamoloto,22.67,2.5
Lingala,18.5,2.0
Aiklep,149.67,-6.25
Caga Kilema,39.0,-5.0
Zapotec Southern Rincon,-96.38,17.3
Iduwini,5.67,4.92
Yaka Pelende,17.5,-7.0
Mirripu Timote,-71.19,8.46
Waneci,67.94,30.1
Toda,76.75,11.42
Teke Ntyo 2,16.67,-3.67
Teke Ntyo 3,16.67,-3.67
Hozo,34.5,9.42
Teke Ntyo 1,16.67,-3.67
C10 Gando,17.75,3.75
Boghom,9.97,9.1
Breton,-3.0,48.0
Jawe,164.67,-20.58
Fyem,9.2,9.35
Yidgha,71.7,36.32
Rajbanshi,87.7,26.5
Konibo,-75.0,-7.5
Lamba Mbole Balanga,24.67,-0.67
Ninam,-62.83,3.5
Konkomba 2,0.08,10.0
Fyer,9.25,9.5
Gbelebankakan,-8.13,9.57
Nahuatl Xilitla,-98.97,21.33
Purepecha,-101.67,19.5
Kamang Pido I,124.83,-8.25
Mawes,139.33,-2.17
Wushi,10.6,6.07
Iban,112.0,2.0
Songish,-123.33,48.45
Maithili,86.0,26.0
Cara,8.75,10.17
Embera Darien,-77.17,6.83
Dogrib,-115.0,63.0
Nkomo Ololi,14.0,-0.5
Balochi Western,62.17,37.83
Tupari,-61.9,-11.6
Pnar Jowai,92.16,25.16
Epena Bomitaba,17.5,1.67
Ndyuka Trio Pidgin,-55.8,2.9
Pulo Anna,132.3,5.33
Unggumi,124.67,-15.65
Namakura Bongabonga,168.56,-16.92
Iaai,166.58,-20.42
Cefo,-4.53,10.72
Ifugao Batad,121.08,16.83
Erai,125.83,-7.83
Birifor Southern,-2.67,9.67
Nyala Kenya,34.1,0.1
Na Khe Gelao,105.0,23.2
Aikana,-60.67,-12.67
Birri C African Rep,25.17,5.5
Amurdak,133.0,-12.0
Ivatan Batanes Islands,121.83,20.33
Asaro,145.25,-6.0
Komso 2,37.58,5.42
Armenian Classical,45.0,40.0
Eastern Oromo 2,42.0,9.0
Totoro,-76.5,2.5
Panamint,-117.0,37.0
Likum,146.8,-2.17
Soa,121.25,-8.7
K14 Lwena 1,22.0,-12.0
K14 Lwena 2,22.0,-12.0
Iowa-oto,-96.0,40.5
Neo Mandaic Khorramshahr,48.5,31.0
Charsadda Pashto,71.73,34.15
Mbe,8.83,6.58
Obeli,14.0,-0.5
Kara,23.0,10.0
Kare,145.51,-5.08
Buru Masarete,126.5,-3.5
Guru Kalasha,71.68,35.64
Paliyan,77.19,10.09
Segai,116.6,1.92
Babole Dzeke,17.25,1.08
Quechua De Ambo Huanuco Pasco Pasco,-76.17,-10.39
Mamvu,29.0,3.25
Old Saxon,9.72,52.37
Gunwinggu Manyallaluk Mayali,133.75,-12.5
Stieng,106.75,11.83
Nume,167.5,-14.21
Papora 2,120.57,24.25
Mann,-9.0,7.0
Marino,168.06,-15.0
Veps,35.0,60.0
Hanga Hundi,142.85,-3.9
Assyrian Neo-aramaic,41.0,36.0
Taje Tanampedagi,120.0,-0.58
Teke,16.67,-3.67
Jivaro Shuar,-78.0,-2.5
Oi,107.17,14.83
Nyanja Nyasa,34.0,-14.0
Ainu Nukkibetsu,142.27,42.66
Efik,8.5,4.92
Bonek,11.23,4.75
Ormu,140.58,-2.42
Comecrudo,-97.5,24.0
Rerau,145.73,-5.48
Luyi,23.58,-15.5
Orma,39.5,-2.0
Dakota,-103.53,50.23
Singo Di Garhi Hindko,73.38,34.09
Abui Atimelang,124.58,-8.25
Mocho,-92.23,15.37
Andi,46.25,42.75
Arapesh,143.17,-3.47
Pubian Lampung Api,105.0,-5.0
Katingan,113.0,-1.67
Dami,145.4,-5.3
Sauria Paharia,87.33,25.0
Dama,14.33,8.67
Pipil,-89.58,13.83
Nyali 2,30.08,1.92
Tonkawa,-96.75,30.25
North Ambrym Ranon,168.15,-16.14
Xavante,-52.5,-15.0
Kayu Agung Asli Komering,105.0,-4.0
Fali Bagira,13.3,10.4
Kichee San Antonio Ilotenango,-91.42,15.0
Koyagakan,-6.18,8.5
Nahuatl Quetzalapa Azoyu,-99.2,18.3
Sullkatiti Titiri,-69.0,-17.0
Wuding Tai,102.4,25.53
Maninkakan Kita,-9.5,13.0
Iigau,6.05,7.75
Warlpiri,132.33,-20.0
Northern Paiute,-118.0,42.0
Busan,141.42,-3.83
Arogbo,5.67,4.92
Nsonteny,18.0,-3.0
Malagasy Anatankarana Vohemar,50.0,-13.37
Lwel Kilori 3,20.67,-5.0
Lwel Kilori 2,20.67,-5.0
Santa Mongolian,107.5,31.5
Tianzhu Shidong Northern Dong,109.0,27.0
Shau,9.03,10.38
Rotuman 2,177.07,-12.5
Shan,98.0,22.0
Mbangwe,13.58,-2.5
Dima,149.58,-9.67
Ainu Maoka,142.05,47.05
Dime,36.25,6.17
Kohat City Hindko,71.44,33.59
Lahanan,114.0,2.7
Mangbutu,29.74,2.75
Japreria,-73.0,10.5
Tigrigna,38.5,14.5
Kauen,21.75,-21.33
Hawaiian 2,-155.5,19.58
Hawaiian 3,-155.5,19.58
Ghayavi 2,149.83,-10.0
Ngengomeri,130.5,-14.0
Ghayavi 1,149.83,-10.0
Natchez,-91.33,31.75
Kansa,-97.0,36.17
Imorod,122.0,20.5
Anigibi,143.5,-8.0
Mam San Juan Atitlan,-91.83,15.42
Hill Maria Gondi,81.0,19.5
Quechua Ancash Chiquian,-77.5,-8.5
Suyong Hmong,105.71,27.9
Hewa,142.58,-5.08
Sheko,35.25,7.0
Salako Badamea,109.42,0.92
Numanggang,146.72,-6.39
Korekore,31.0,-18.0
Nahuatl La Reforma Tepehuacan De Guerrero,-98.83,21.0
Maramanadji,130.67,-14.25
Songola Kasenga,26.08,-2.08
Pinai Hagahai Aramo,144.33,-5.33
Ifugao Bayninan,121.0,16.67
Demta Unknowndial,140.17,-2.33
Chiangrai Mien,99.5,19.55
Kichee Rabinal,-90.33,15.08
Longzhou Zhuang,106.85,22.35
Ngadjunmaya,123.83,-32.33
Western Armenian,43.5,38.5
Gongxing Bai,99.17,27.08
Jibu,11.0,7.42
Mambi,119.25,-2.75
South Efate Erakor,168.25,-17.67
Fulfulde Maasina,-5.0,15.0
Shirishana,-62.83,3.5
Kitsai,-96.5,31.83
Itneg Binongan,120.97,17.67
Sinagen,142.42,-3.42
Gudanji,134.42,-15.43
Hoan,24.95,-23.92
Soddo,38.5,8.5
Kaidipang,123.17,0.83
Pame Meridional,-99.33,20.97
Masalit,22.0,13.33
Central Dusun,116.6,6.1
Tobati,140.67,-2.58
Sakata Kibai,18.0,-3.0
Ibolo Bambomba Bomitaba,17.5,1.67
Pomo Northern,-123.5,39.33
Dyirbal,145.58,-17.83
Kesaa Sakata,18.0,-3.0
Lakkja,110.1,24.08
Korandje,-3.0,29.5
Yaghnobi,69.0,39.0
Kangjia,102.08,35.41
Djeebbana,134.17,-12.17
Vafsi,49.92,34.67
Bantik,124.75,1.42
Aukan,-54.5,5.0
Beria,24.0,15.17
Lule And Tonocote,-58.98,-27.45
Jabung Lampung Api,105.0,-5.0
Quechua Arequipa Union,-72.63,-15.18
Nafri,140.75,-2.58
Mokok Tsez,45.9,42.26
Alor Kalabahi,124.0,-7.67
Runyankore Rukiga,30.5,-0.5
Ho,86.0,22.0
Itbayaten Batanes Islands,121.83,20.33
Tongan,-175.17,-21.17
Kaulong,149.67,-6.17
Karitiana,-64.0,-9.5
Lianhua She,114.43,22.59
Rukul,8.92,8.92
Aka Kede,92.75,12.75
Turka,-5.0,10.67
Nahuatl Montegrande Platon Sanchez,-98.37,21.27
Wogeo,144.1,-3.17
Hateruma Yaeyama,123.78,24.07
Teke Boundji,15.33,-3.67
Digo 1,39.5,-4.25
Digo 2,39.5,-4.25
Keramin,141.9,-34.08
Twumwu,11.67,5.83
Urak Lawoi,98.33,8.0
Tigre 2,38.5,16.5
Langanyan,130.8,-0.37
Mam San Martin Sacatepequez,-91.83,15.42
Ndjabi,13.0,-1.25
Chuj San Mateo Ixtatan,-91.48,15.83
Nnam,8.5,6.33
Tatar,49.5,56.0
Remun,110.67,1.09
Meidob Nubian,26.25,15.08
Nahuatl Coxcatlan,-98.9,21.58
Tuwari,142.08,-4.83
Kaki Ae,145.83,-8.0
North Efate Pwele,168.49,-17.48
Southeast Ambrym Maat,168.3,-16.3
Bidiya,18.75,11.92
Kalami,72.5,35.5
Beothuk,-57.0,48.0
Doromu Bareika,148.0,-9.5
Koro,167.43,-14.33
Asas,145.58,-5.7
Amblong,166.97,-15.52
Yuracare,-65.25,-16.58
Burji,37.83,5.5
Wintu,-122.5,41.0
Punjabi Majhi,74.0,31.0
Mbay,17.5,8.25
Uehara Yaeyama,123.8,24.42
Waray Waray,125.0,12.0
Qiliqiao Bai 2,100.17,25.66
Greek Romany,23.65,38.0
Sissano,142.08,-3.0
Western Arrernte,132.5,-24.0
Madak,152.0,-3.25
Nghwele 2,38.42,-6.33
Kalong,11.08,4.43
Stodsde,103.27,31.5
Tofa,98.0,53.75
Mbuun,19.33,-5.17
Ekpetiama,5.67,4.92
Jinchang White Lachi,104.67,22.75
Proto Tsouic,120.78,23.22
Dong,12.0,8.5
Shimenkan Hmong,104.25,23.37
Ndok Mbali,15.12,8.07
Pukapuka,-165.58,-10.67
Naga Mao,94.33,25.5
Eleku Ibenge,18.25,0.17
Sirak,146.83,-6.5
Maay,44.0,4.0
Sinyar,22.35,12.07
Koroboro Senni,0.0,16.0
Ritharngu,135.5,-12.83
Skolt Saami,30.0,68.0
Yessan Mayo,142.58,-4.17
Darai 2,84.0,24.0
Chakma Unnamedinsource,92.0,22.0
Jarai,107.92,14.0
Dusun Tempasuk,116.55,6.36
Achumawi,-121.0,41.5
Ono,147.42,-6.17
Wom Africa,12.45,8.93
Ona,-70.0,-53.0
Sepecides Romani,27.0,38.25
Ksinmul 2,104.0,21.08
Doe 2,38.58,-6.0
Tamahaq Tahaggart 2,6.0,23.0
Walo Kumbe,-2.95,15.0
Songye,22.0,-6.83
Xanaguia Zapotec,-96.28,16.1
Ayu,8.62,9.28
Kandahar Pashto,65.76,31.6
Serena,-77.93,-1.09
Kaluli 2,142.83,-6.46
Mantauran,120.8,22.83
Dida Yocoboue,-5.0,5.5
Geji,9.58,10.37
Kuril Ainu,156.31,50.73
Shurak Khorasani,58.48,37.17
Oneibia Arosi,161.33,-10.25
Karen Sgaw,97.0,18.0
Korku,78.5,22.5
Haya 2,31.5,-2.0
Mambwe,31.17,-9.08
Wathawurrung,144.0,-38.0
Saa,161.5,-9.62
Katu,107.5,16.17
Kato,-123.67,39.67
Naga Lotha,94.25,26.5
Kate,147.75,-6.5
Sau,144.0,-6.67
Way Lima Lampung Api,105.0,-5.0
Zhanglu Dong,108.52,25.93
Lakher Mara,93.17,23.0
Swahili Makunduchi,39.75,-7.87
H41 Mbala 1,18.0,-5.0
Naga Chokri,94.3,25.95
Kiput,114.35,4.1
Kisar,127.12,-8.08
Warungu,145.0,-18.0
Malapa,127.58,0.5
Dorasque,-83.0,7.0
Diegueno,-116.17,32.67
Yir Yoront,141.83,-14.83
Loma Liberia,-9.5,8.0
Doromu,148.0,-9.5
Tepehua Tlachichilco,-98.2,20.63
Meen,37.0,5.0
C75 Kela,24.0,-1.33
North Tugen,35.92,0.25
Karen Pwo Eastern,99.17,13.0
Mazhelong Bai,99.38,25.88
Kikerewe,33.58,-2.0
Nyakyusa,33.67,-9.25
Duhwa,8.75,9.33
Macaguan,-71.33,6.5
Qaqet,152.0,-4.58
Sacapulteco Sacapulas Centro,-91.08,15.27
Dinka Southeastern,32.0,7.0
Kamasau 2,143.83,-3.83
Syriac 2,39.0,37.25
Jabem,147.78,-6.58
Tennet,32.5,4.42
Waura,-53.0,-12.0
Purhepecha 2,-101.67,19.5
Nahuatl Chicontepec,-98.17,20.97
Naro,20.5,-22.5
Uspanteko,-90.75,15.45
Nara,37.58,15.08
Semnam,101.0,4.75
Digoeleesch,141.0,-6.0
Shanga,3.83,11.55
Sodangan,119.08,-3.08
Pilaga,-60.0,-25.0
Mbirao,160.5,-9.75
Chorbat Balti,76.0,35.0
Gogodala Ari,142.5,-7.92
Walani Silte,38.0,8.0
Lingarak,167.55,-16.18
Medebur,145.42,-4.5
Koasati,-92.64,30.46
Na Chad,19.17,9.67
Minangnga,119.08,-3.08
Huambisa,-78.0,-4.0
Sileibi,145.21,-5.0
Awtuw,142.0,-3.58
Hima Rdc,30.5,-0.5
Quechua San Martin,-76.66,-6.96
Simalur,96.25,2.5
Shira Bwali,10.5,-1.75
Nyunga Northern,122.0,-33.75
Nahuatl Santa Maria Teopoxco,-96.95,18.17
Keiga,29.67,11.33
Central Azad Kashmir Gujari,73.79,33.76
Southwest Tanna Ikiti,169.37,-19.63
Watam,144.5,-3.92
Mundari,84.67,23.0
Sotho Southern,27.0,-28.0
Tashelhit Ida Usemlal,-9.61,29.53
Modo,30.0,6.0
Bodobelghoria Santali,87.0,24.5
Alyawarr Macdonalddowns Alyawara,135.0,-22.5
Pangutaran Sama,120.58,6.25
Gumawana,150.8,-9.21
Chimariko,-123.0,41.0
Lau North,161.5,-9.58
Siona,-76.25,0.33
Mokilko,18.08,11.92
Zapotec Yalalag,-96.17,17.17
Rutooro,30.5,0.5
Orokolo 2,145.33,-7.83
Sinasina,145.0,-6.08
Luganda,32.17,0.5
South Highland Mixe,-96.17,17.08
Isheu,6.05,7.75
Chochotec,-97.42,17.67
Laadi,14.8,-4.0
Jilu,41.0,36.0
Biyanda,15.5,4.5
Nde Yulana,11.0,6.67
Jili,8.33,8.5
Purik,76.0,34.67
Xamtanga,38.83,12.42
Sundanese,107.0,-7.0
Papasena,138.58,-2.83
Heiltsuk,-127.5,51.0
Sardinian Logudarese,9.1,40.5
Cimbrian,11.32,45.92
Dameli,71.72,35.36
Kabba,16.5,7.5
Gaanda,12.58,10.33
Inner Mbugu Bumbuli,38.17,-4.33
Montol,9.42,9.0
Ninggirum Kawoma,141.08,-5.9
Uki Ni Masi Saa,161.45,-9.62
Koiari 2,147.33,-9.5
Kui Thailand 2,103.92,14.83
Kenaboi 1,102.23,2.37
Tuki,11.6,4.42
Hoper Nagar Burushaski,74.5,36.5
Gorontalo,122.0,0.5
Piemontese Vercellese,7.64,45.3
Kuikuro,-53.08,-12.08
Dameli 2,71.72,35.36
Guambiano,-76.67,2.5
Pe,9.67,9.33
Kalkoti,72.5,35.5
Bushong 1,21.5,-4.5
Mosina,167.52,-13.87
Modern Mandaic,48.5,31.0
Bushong 2,21.5,-4.5
Mori Bawah,121.3,-2.08
Gabri,16.67,9.33
Popoloca San Juan Atzingo,-96.42,18.17
Igbo Onitsha,7.33,6.0
Katu Eastern,107.58,15.83
Aulu Saa,161.45,-9.26
Moken,97.83,9.08
Gunin Kwini,126.67,-14.25
Dzing Sedzo,19.5,-4.33
Leipon,147.25,-1.92
Miji,92.5,27.0
Riantana 2,138.5,-7.5
Manda India,83.83,19.83
Morang,85.7,26.6
Skou,140.92,-2.67
Borana Oromo 2,38.5,4.5
Yanghao Hmong,108.4,26.69
North Ambrym Fonah,168.09,-16.18
Makassarese,119.58,-5.42
Samoan,-171.83,-13.92
Kalinga Limos,121.0,17.5
Bayot,-16.23,12.35
Masbatenyo,123.58,12.58
Malang,112.62,-7.97
Deuri,90.25,26.0
Limbum,10.8,6.55
Dubu,140.83,-3.58
Callawalla,-68.45,-15.08
Regi,6.0,10.33
Whitesands Iarkei,169.45,-19.51
Daasanach,36.33,4.67
Tiene 1,16.5,-2.83
Gen,1.75,6.25
Caramanta,-75.88,5.62
Sentani,140.58,-2.58
Haiderabad Hunza Burushaski,74.5,36.5
Kichee Santa Lucia Utatlan,-91.5,14.78
Shuiqing Sui,107.9,26.9
Nyalgulgule,26.17,8.75
Bumthangkha,90.8,27.65
Rapting,145.63,-4.99
Chaman Pashto,66.45,30.93
Meleku Jaika,-84.75,10.75
Moskona,133.0,-1.75
Suya,-53.1,-11.1
Rabha,93.91,26.34
Denya Bajwo,9.42,6.0
Choctaw,-88.5,32.25
Kolai Shina,74.0,36.0
Mam Consepcion Chiquirichapa,-91.83,15.42
Hehe,36.0,-8.0
Khaling,86.67,27.5
Shona,31.0,-18.0
Tiro,30.95,10.97
Baga Mboteni,-12.07,12.27
Geser,131.17,-4.0
Yaeyama,124.0,24.33
Serili,129.9,-8.17
Laliu Mak 2,107.75,25.26
Metomka Muyu,141.25,-6.17
Safen,-17.12,14.75
Rwanda Twa Kinigi,30.0,-2.0
Warnang,31.27,10.35
Sora,84.33,20.0
Chhintange,87.18,26.58
Botongo Dibole,17.25,1.08
Bayali,150.5,-22.75
Bagusa,137.83,-2.0
Nkomo Kelle,14.0,-0.5
Asturian,-6.0,43.25
Yaros,146.2,-6.3
Abau 2,141.25,-4.0
Nahuatl Cuamelc0 Tianguistengo,-98.62,20.72
Dixon Reef 2,167.4,-16.35
C45 Lebeo,25.0,1.75
Dixon Reef 1,167.4,-16.31
Wedau,150.2,-10.17
Zoombo 4,15.0,-5.0
Shipibo,-75.0,-7.5
Laibin Central Hongshuihe Zhuang,108.2,22.44
Mser,15.0,12.0
Zoombo 2,15.0,-5.0
Zoombo 3,15.0,-5.0
Mawan,145.59,-5.2
Tambotalo,167.2,-15.45
Akuntsu,-61.1,-13.1
Pir Komaj Khorasani,58.73,36.25
Ibee,18.0,-3.0
Masarwa Tati,26.0,-22.5
Tocho,30.25,10.83
Abui Takalelang,124.58,-8.25
Suena,147.55,-7.75
Bari Sudan,31.67,5.83
Irula,76.8,10.9
Abnaki Eastern,-68.67,45.0
Mbula Nigeria,12.25,9.58
Ziriya,8.67,10.5
Mbesa,22.75,1.67
Hitu,128.17,-3.5
One Inebu,141.9,-3.25
North Frisian Amrum,8.35,54.65
Vemgo Mabas,13.73,10.97
Kofyar,9.17,8.83
Lau,161.5,-9.58
Patichora Santali,87.0,24.5
Creek,-81.06,27.08
Zumbun,10.0,10.8
Mambila,11.5,6.75
Nawuri,0.1,8.17
Ngarigu,149.13,-36.23
Proto Central Eastern Malayo Polynesian,146.95,-2.08
Lenakel Lonasilian,169.24,-19.47
Owiniga,141.75,-4.42
Yanz Kiyey,18.0,-3.83
Bainouk Gunyaamolo,-16.23,12.87
Kayuadi Bajau,123.0,-4.33
Baruya,145.92,-6.92
Uchumataqu,-69.0,-16.75
Southeast Babar,129.8,-8.0
Tanggu,144.92,-4.5
Lorhon,-3.24,9.63
Solon,119.75,49.14
Lamenu,168.14,-16.59
Kulango Bouna,-3.0,9.0
Baale,35.2,6.2
Shirumba,30.38,11.12
North Russian Romani,38.0,60.0
Manggarai,120.33,-8.67
Solos,154.7,-5.25
Osum,144.9,-4.8
Abasakur,145.23,-4.77
Sumerian,45.95,31.32
Dondo,120.67,0.83
Mbalanhu,15.0,-17.5
Zamboangueno,122.08,7.0
Seget,131.25,-1.33
Guarijio,-108.67,27.75
Omagua,-73.5,-4.0
Mburku,9.83,10.92
Chalcatongo Mixtec,-97.57,17.05
Gujarati,72.0,23.0
Yamana,-68.0,-55.0
Kabui Rongmei,94.5,25.67
Tahitian 2,-149.58,-17.67
Popoloca Metzontla,-97.5,18.17
Batak Angkola,100.5,2.0
Ndanda Sud,10.33,5.17
Kashmiri,76.0,34.0
Sawila 2,125.08,-8.28
Saanich,-123.25,48.35
Lung Ming,106.8,22.5
Teop,155.0,-5.67
Fali Kiriya,13.35,10.45
Ngbugu,21.25,4.5
Baniva,-66.83,2.67
Bonan,102.5,36.0
Western Quiche Santa Catarina Ixtahuacan,-91.36,14.8
Tohono Oodham,-112.0,32.0
Fang Ntumu,11.42,-1.0
Rerep,167.67,-16.28
Yanz Kibongo,18.0,-3.83
Kota Agung Lampung Api,105.0,-5.0
Cheng,106.97,14.8
Yamazato Okinawan,126.75,26.36
Mekeo,146.5,-8.33
Nati,167.5,-16.45
Ilokano,121.0,16.0
Pemba,39.0,-6.5
Mambila Atta,11.5,6.75
Macushi,-60.0,4.0
Lere Gana,8.67,10.58
Wichi Lhamtes Guisnay,-62.58,-22.5
Chitral Gujari,71.78,34.63
Bene Bomitaba,17.5,1.67
Limos Kalinga,121.25,17.67
Katiati,145.07,-4.83
Wadjiginy,130.17,-13.17
Ditidaht,-124.75,48.67
Pagu,127.75,1.25
U,101.77,22.68
Southwest Palawano,117.3,8.67
Afoa,147.17,-8.42
Pahi,142.35,-3.83
Mekwei Kendate,140.33,-2.5
Southern Bobo Madare,-4.33,11.5
Tungak,150.25,-2.55
Cuitlatec,-101.0,17.5
Gunbalang Warlang,134.0,-12.0
Avaso Babatana,157.5,-7.33
Dhammai,92.5,27.0
Maga Rukai,120.83,22.83
Bakossi,9.62,4.8
Sinti Romani,16.5,47.5
Khoekhoegowab,18.0,-25.5
Musgu K,14.92,10.83
Mawayana,-59.0,1.0
Ravula,75.37,12.72
Neapolitan Calabrese,16.42,39.23
Zway,38.83,7.93
Alyawarra,135.0,-22.5
Chaha,37.5,8.0
Wipi Dorogori,143.08,-8.75
Oowekyala,-127.15,51.41
Agala,142.25,-5.75
Malagasy Tanosy Tolagnaro,46.98,-25.03
Tzotzil Zinacantan 1600,-92.7,16.75
Senhayi,-4.18,34.45
A61 Ngoro Asom,11.5,4.58
Tigak,150.8,-2.72
Slavey,-120.0,60.0
Doso,142.58,-7.58
Embera Northern,-77.17,6.83
Burgenland Romani,16.5,47.5
Attie,-3.75,6.0
Pande,16.25,3.58
Dogon Jamsay,-2.4,14.4
Dair,30.58,12.5
Jina,14.92,11.33
Twi Fante,-1.26,5.2
